# Cartes visuelles / audio. a = champ vide. GPS seulement si lat ET lon sont sources.
# voix: henri=fr-FR-HenriNeural ; denise=fr-FR-DeniseNeural ; duo=Henri puis Denise en alternance.
"schema_version";"id";"locale";"sequence";"date_classement";"date_modif";"categorie";"fond";"titre";"ligne_2";"ligne_3";"slug";"logo";"insert_image";"insert_after";"voix";"gps_lat";"gps_lon";"gps_label";"alt";"state"
"1";"card-scanner";"fr";"0";"2026-08-15";"2026-08-15";"intro";"cobalt";"Compris avant d'être cité.";"Scanner AI-READY. Architecture AI-First.";"alchimiste-ia.com";"scanner-ai-ready";"a";"a";"a";"henri";"a";"a";"a";"Carte cobalt du scanner AI-READY Alchimiste IA.";"source"
"1";"card-01-domaine";"fr";"1";"2026-08-15";"2026-08-15";"controles-indispensables";"noir";"Le domaine n'est pas lancé parce qu'il répond.";"Propriété, marque, souveraineté.";"Contrôle 01 — P0";"controle-01-domaine";"a";"a";"a";"denise";"a";"a";"a";"Carte du contrôle 01 domaine.";"source"
"1";"card-02-dns";"fr";"2";"2026-08-15";"2026-08-15";"controles-indispensables";"cobalt";"Tous les résolveurs, la même cible.";"DNS, CAA, DNSSEC, pas de vieille IP.";"Contrôle 02 — P0";"controle-02-dns";"a";"a";"a";"henri";"a";"a";"a";"Carte du contrôle 02 DNS.";"source"
"1";"card-03-https";"fr";"3";"2026-08-15";"2026-08-15";"controles-indispensables";"cramoisi";"HTTPS en une seule étape.";"Certificat, HSTS, CSP, sans casser Mollie.";"Contrôle 03 — P0";"controle-03-https";"a";"a";"a";"duo";"a";"a";"a";"Carte du contrôle 03 HTTPS.";"source"
"1";"card-04-emails";"fr";"4";"2026-08-15";"2026-08-15";"controles-indispensables";"blanc";"Un lien déjà utilisé n'ouvre plus.";"MX, SPF, DKIM, DMARC, magic link.";"Contrôle 04 — P0";"controle-04-emails";"a";"a";"a";"denise";"a";"a";"a";"Carte du contrôle 04 emails.";"source"
"1";"card-05-seo";"fr";"5";"2026-08-15";"2026-08-15";"controles-indispensables";"noir";"Les pages commerciales s'indexent.";"Le cockpit et le paiement, non.";"Contrôle 05 — P0/P1";"controle-05-seo-technique";"a";"a";"a";"henri";"a";"a";"a";"Carte du contrôle 05 SEO technique.";"source"
"1";"card-06-i18n";"fr";"6";"2026-08-15";"2026-08-15";"controles-indispensables";"cobalt";"Une URL par langue, hreflang réciproques.";"Pas de redirection selon l'IP.";"Contrôle 06 — P1";"controle-06-seo-international";"a";"a";"a";"duo";"a";"a";"a";"Carte du contrôle 06 SEO international.";"source"
"1";"card-07-geo";"fr";"7";"2026-08-15";"2026-08-15";"controles-indispensables";"cramoisi";"L'agent lit des faits, pas une réputation.";"HTML, entités, sources, dates.";"Contrôle 07 — P1";"controle-07-geo";"a";"a";"a";"henri";"a";"a";"a";"Carte du contrôle 07 GEO.";"source"
"1";"card-08-hci";"fr";"8";"2026-08-15";"2026-08-15";"controles-indispensables";"blanc";"Comprendre, payer, lire le rapport.";"Mobile, clavier, connexion médiocre.";"Contrôle 08 — P1";"controle-08-performance";"a";"a";"a";"duo";"a";"a";"a";"Carte du contrôle 08 performance et accessibilité.";"source"
"1";"card-09-saas";"fr";"9";"2026-08-15";"2026-08-15";"controles-indispensables";"noir";"Un seul prix, une seule vérité.";"Affiché, Mollie, facture, JSON-LD, CGV.";"Contrôle 09 — P0";"controle-09-saas-paiement";"a";"a";"a";"denise";"a";"a";"a";"Carte du contrôle 09 SaaS et paiement.";"source"
"1";"card-10-obs";"fr";"10";"2026-08-15";"2026-08-15";"controles-indispensables";"cobalt";"Mesurer, alerter, pouvoir revenir.";"Observabilité et non-régression.";"Contrôle 10 — P0/P1";"controle-10-observabilite";"a";"a";"a";"henri";"a";"a";"a";"Carte du contrôle 10 observabilité.";"source"
